lon,lat,depth_m,adcirc_id,stwave_id,match_dist_m,have
-74.1696,40.4595,2.75544,11556,,,adcirc_only
-74.047319,40.459676,13.91609,3796,,,adcirc_only
-74.0072,40.4599,2.858333,11525,,,adcirc_only
-73.952692,40.460474,8.737009,3797,234,0.5,both
-74.009985,40.460742,5.694831,3798,,,adcirc_only
-74.043497,40.460834,8.389396,3799,,,adcirc_only
-74.133,40.4618,1.881231,11573,,,adcirc_only
-74.17669,40.463,2.040425,11576,,,adcirc_only
-74.0504,40.4632,6.861236,11701,,,adcirc_only
-74.25835,40.46362,-1.857465,11590,,,adcirc_only
-74.154091,40.463708,3.653374,3800,,,adcirc_only
-74.2576,40.4642,1.110559,3494,,,adcirc_only
-73.99041,40.46423,8.570609,13742,2441,0.0,both
-74.23372,40.46493,3.087936,11563,,,adcirc_only
-74.1421,40.4656,2.983983,11554,,,adcirc_only
-74.194117,40.466333,4.08165,3801,,,adcirc_only
-74.008333,40.466667,1.591806,7435,,,adcirc_only
-74.008333,40.466667,1.592702,18982,,,adcirc_only
-74.24988,40.46667,2.860587,11564,,,adcirc_only
-74.0094,40.4669,1.835832,3551,,,adcirc_only
-74.119147,40.467743,5.140178,3802,,,adcirc_only
-73.966192,40.469514,9.373823,3804,241,0.5,both
-73.995019,40.470488,3.322188,3805,242,0.2,both
-74.14198,40.470785,3.734117,3806,,,adcirc_only
-74.031669,40.470865,8.175895,3807,,,adcirc_only
-74.02019,40.47095,4.448309,13743,,,adcirc_only
-74.26167,40.4713,1.314104,11580,,,adcirc_only
-74.21065,40.471445,3.994478,3808,,,adcirc_only
-74.04063,40.472355,8.870534,3810,,,adcirc_only
-73.99722,40.47252,1.336252,11523,1242,0.0,both
-74.165969,40.472791,3.834298,3811,,,adcirc_only
-74.016202,40.473538,-1.25,3812,,,adcirc_only
-74.26752,40.47357,-0.985202,11603,1322,0.0,both
-74.17529,40.47375,3.259991,11557,,,adcirc_only
-74.0601,40.4738,7.824108,11702,,,adcirc_only
-74.12831,40.47401,3.202634,11553,,,adcirc_only
-74.1679,40.4743,3.752162,3506,,,adcirc_only
-74.181719,40.474851,4.072428,3813,,,adcirc_only
-74.258,40.47619,2.614772,11565,,,adcirc_only
-73.981293,40.476683,9.588517,3814,251,0.4,both
-74.055917,40.477088,10.00899,3815,,,adcirc_only
-74.016145,40.477523,-1.918918,3817,,,adcirc_only
-74.130581,40.478241,3.196028,3818,,,adcirc_only
-74.223604,40.478782,3.784826,3821,,,adcirc_only
-74.0146,40.47899,8.132964,11524,,,adcirc_only
-74.006372,40.479491,5.563317,3822,259,0.2,both
-73.998639,40.47959,5.216102,3823,260,0.1,both
-74.2339,40.4806,4.478886,11677,,,adcirc_only
-74.073168,40.480948,9.905982,3825,,,adcirc_only
-74.2683,40.481,-0.604623,11602,1321,0.0,both
-74.2194,40.4811,4.569917,11678,,,adcirc_only
-74.241251,40.481315,4.220572,3826,263,0.6,both
-74.2053,40.4826,4.507806,11679,,,adcirc_only
-74.066,40.4831,8.338464,11703,,,adcirc_only
-74.258931,40.483767,5.445968,3827,264,0.3,both
-74.2499,40.484,7.490925,11676,1386,0.0,both
-74.090472,40.484671,9.818968,3829,,,adcirc_only
-74.1927,40.485,5.231759,11680,,,adcirc_only
-74.2619,40.4859,7.04373,11566,1285,0.0,both
-74.240249,40.487282,11.16955,3833,270,0.2,both
-74.107975,40.487803,10.098385,3834,,,adcirc_only
-74.181,40.4879,7.012065,11681,,,adcirc_only
-74.2751,40.489566,1.258508,3836,,,adcirc_only
-74.32027,40.49025,7.803876,13752,,,adcirc_only
-74.2441,40.4903,5.680281,11717,1427,0.0,both
-74.320344,40.49103,4.942208,3839,,,adcirc_only
-74.104023,40.49128,9.852411,3841,,,adcirc_only
-74.237196,40.491529,3.142654,3842,275,0.4,both
-74.281667,40.491667,-2.50099,7424,,,adcirc_only
-74.2624,40.4917,2.595496,3493,8,0.0,both
-74.125188,40.491761,10.006015,3843,,,adcirc_only
-74.2713,40.4919,7.356791,11567,1286,0.0,both
-74.233936,40.491977,4.000709,3844,277,0.5,both
-74.280938,40.492271,2.107285,3490,,,adcirc_only
-74.2525,40.4923,9.869558,11648,1358,0.0,both
-74.248363,40.49254,4.003194,3845,278,0.3,both
-74.0703,40.4928,9.278183,11704,,,adcirc_only
-74.1684,40.4933,6.886036,11682,,,adcirc_only
-74.224613,40.493412,11.515151,3846,279,0.3,both
-74.23346,40.49401,3.091197,11718,1428,0.0,both
